City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Moose Factory,CA,63.93,clear sky,51.2585,-80.6094,Moosonee Lilypad
311,Gorontalo,ID,77.07,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
312,Asau,RO,63.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
318,San Quintin,MX,76.62,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
320,Wuda,CN,72.73,few clouds,39.4994,106.7117,Grape Sightseeing Garden
323,Sioux Lookout,CA,76.48,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
324,Sao Jose Da Coroa Grande,BR,75.02,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
327,Hualmay,PE,64.87,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
334,Okha,RU,63.34,overcast clouds,53.5739,142.9478,Империя
336,Pitimbu,BR,73.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
337,Fort Nelson,CA,67.95,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
340,Karratha,AU,68.11,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
341,Peniche,PT,66.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
343,Sao Filipe,CV,73.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
344,Arona,ES,66.83,few clouds,28.0996,-16.681,Paradise Court
346,Gander,CA,68.16,overcast clouds,48.9682,-54.5906,Quality Hotel & Suites
347,Wanxian,CN,78.19,few clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
349,Kalianget,ID,79.52,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
351,Pisco,PE,62.65,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
353,Lysychovo,UA,62.2,broken clouds,48.4968,23.2899,Pryvatna Sadyba
354,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
355,Huicungo,PE,73.8,broken clouds,-7.2833,-76.8,Gran Pajaten Trek
357,West Bend,US,77.79,broken clouds,43.4253,-88.1834,Hampton Inn & Suites West Bend
359,Hami,CN,70.16,broken clouds,42.8,93.45,Laoyutang Resort
360,Nikki,BJ,74.41,broken clouds,9.9401,3.2108,Hotel John
364,Aginskoye,RU,64.72,heavy intensity rain,51.1,114.53,Кочевник
365,Homer,US,60.08,light rain,59.6425,-151.5483,Beluga Lake Lodge
367,Feijo,BR,74.55,few clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
368,Makokou,GA,74.84,light rain,0.5738,12.8642,Motel des voyageurs
369,Quatre Cocos,MU,71.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
370,Chapais,CA,67.86,broken clouds,49.7834,-74.8492,Hôtel Opémiska
371,Chaman,PK,77.11,clear sky,30.9236,66.4512,Niamat parda Center chaman
374,Pringsewu,ID,73.15,broken clouds,-5.3582,104.9744,Urban Style by Front One
376,Charters Towers,AU,60.82,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
377,Souillac,MU,71.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
382,San Felipe,VE,73.69,scattered clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
386,Lata,PT,65.05,scattered clouds,40.1629,-8.3327,Casa Maquia
388,Jining,CN,75.74,overcast clouds,35.405,116.5814,Yunhe Star Hotel
394,Yamada,JP,78.8,broken clouds,39.4667,141.95,Iroha-ya Inn
399,Paris,FR,71.38,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
401,Bar Harbor,US,74.34,few clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
405,Biak,ID,75.36,light rain,-0.9131,122.8766,Penginapan Kim
407,Tabou,CI,76.5,scattered clouds,4.423,-7.3528,hotêl doufoulougou
413,Acarau,BR,79.56,clear sky,-2.8856,-40.12,castelo pizzaria
415,Harper,LR,76.75,scattered clouds,4.375,-7.7169,Screensaver
416,Srandakan,ID,75.52,broken clouds,-7.9386,110.2506,Puri Brata
421,Agadir,MA,68.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
422,Hearst,CA,72.1,broken clouds,49.6835,-83.6665,Companion
423,Vercheres,CA,74.39,overcast clouds,45.7834,-73.3492,Au Doc Motel
424,Iquitos,PE,78.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
425,Pangai,TO,77.41,few clouds,-19.8,-174.35,Ha'apai Beach Resort
428,Changtu,CN,76.1,broken clouds,42.7788,124.0955,Ming Yang Inn
430,Zhoucheng,CN,75.27,light rain,35.9122,116.3117,Yingbin Restaurant
433,Tommot,RU,72.0,broken clouds,58.9564,126.2925,Gostinitsa Tommot
440,Skibbereen,IE,66.0,scattered clouds,51.55,-9.2667,The West Cork Hotel
447,Yatou,CN,78.53,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
448,Sal Rei,CV,75.76,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
453,Camacha,PT,68.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
455,San Pedro,PH,79.36,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
456,Roma,US,78.94,thunderstorm,43.2128,-75.4557,Wingate By Wyndham Rome
457,Muros,ES,66.7,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
458,Areosa,PT,67.32,scattered clouds,41.7178,-8.8571,Hotel Flôr de Sal
470,Nanzhang,CN,76.32,light rain,31.7765,111.8386,Longmenkezhan
473,Newport,GB,71.53,clear sky,51.5877,-2.9984,ibis budget Newport
474,Shymkent,KZ,77.59,scattered clouds,42.3,69.6,Orbita Boutique Hotel
477,Korla,CN,77.52,scattered clouds,41.7597,86.1469,Gulisitan Hotel
478,Cuiluan,CN,76.62,broken clouds,47.72,128.648,Shuncheng Hotel
479,Banjar,ID,76.86,broken clouds,-8.19,114.9675,The Hamsa Resort
482,Fuxin,CN,75.92,scattered clouds,42.0156,121.6589,Xinya International Hotel
484,Miraflores,MX,73.81,overcast clouds,19.2167,-98.8083,Hotel Mansión
486,Port Hedland,AU,60.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
487,Tefe,BR,78.91,broken clouds,-3.3542,-64.7114,Aracati Hotel
488,Canico,PT,72.72,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
489,Tete,MZ,66.83,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
492,Juneau,US,74.84,scattered clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
494,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
495,Zaltan,LY,76.78,clear sky,32.947,11.8665,زلطن الشرقية
497,Kottagudem,IN,75.36,moderate rain,17.55,80.6333,Hotel Surya Palace
499,Linhares,BR,66.04,broken clouds,-19.3911,-40.0722,Hotel Conceição
501,Port Keats,AU,70.12,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
502,Marck,FR,67.98,clear sky,50.949,1.9433,ibis Calais Car Ferry
506,Lejanias,CO,71.11,scattered clouds,3.5251,-74.0216,Hotel Campestre La Contea
507,Boa Vista,BR,78.78,heavy intensity rain,2.8197,-60.6733,Aipana Plaza Hotel
509,Eyl,SO,76.5,clear sky,7.9803,49.8164,Amiin Hotel
510,Srinagar,IN,64.54,broken clouds,34.0833,74.8167,Hotel New Green View
513,Ashoknagar,IN,78.3,overcast clouds,24.5667,77.7167,Hotel Rajshree
514,Vila,PT,61.74,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
515,Ambilobe,MG,68.61,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
519,Vanderhoof,CA,72.66,broken clouds,54.0166,-124.0198,Vanderhoof Inn
522,Alyangula,AU,73.54,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
525,Kemalpasa,TR,76.1,clear sky,38.4262,27.4173,Kemalpaşa Öğretmen Evi
527,Bela Vista,BR,62.76,overcast clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
528,Lattes,FR,76.21,clear sky,43.5675,3.9046,Madame Vacances - Résidence Les Consuls de la Mer
530,Guangyuan,CN,73.47,clear sky,32.442,105.823,Guangyuan Poetry Hotel
532,Ulaanbaatar,MN,62.73,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
533,Curuca,BR,74.28,few clouds,-0.7289,-47.8481,Hotel Curuça
535,Port Hardy,CA,60.46,light rain,50.6996,-127.4199,Airport Inn
539,Vanersborg,SE,60.66,overcast clouds,58.3807,12.3234,Best Western Arena Hotell
540,San-Pedro,CI,75.52,few clouds,4.7485,-6.6363,Hotel Maria
541,Ucluelet,CA,74.05,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
542,Sokoni,TZ,76.71,clear sky,-6.4333,39.55,Ujamaa Beach Resort
544,Chapleau,CA,67.44,clear sky,47.8405,-83.4034,Nemegosenda Lake Lodge
546,Sim,RU,63.18,broken clouds,54.993,57.6982,Otel' Perekrestok
551,Tigzirt,DZ,76.41,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
554,Koumac,NC,71.56,scattered clouds,-20.5667,164.2833,Le Monitel
557,Udachnyy,RU,64.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
560,Omsukchan,RU,70.41,broken clouds,62.5333,155.8,Zori
561,Maragogi,BR,74.64,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
572,Constantine,DZ,71.96,clear sky,36.365,6.6147,Grand Hotel Cirta
574,Hede,CN,79.77,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
576,Tevaitoa,PF,78.24,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
578,Hvide Sande,DK,60.01,broken clouds,56.0045,8.1294,Hvide Sande Hotel
586,Chifeng,CN,74.55,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
589,Bredy,RU,69.3,overcast clouds,52.4153,60.3411,Individual'nyy Predprinimatel' Rakhmanin Andrey Aleksandrovich
590,Mangochi,MW,65.19,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
591,Telenesti,MD,66.67,overcast clouds,47.4997,28.3656,Căminul școlii profesionale
593,Goderich,CA,68.92,scattered clouds,43.7501,-81.7165,Harmony Inn
594,Rabo De Peixe,PT,67.51,scattered clouds,37.8,-25.5833,Quinta das Giestas
596,Kovilpatti,IN,79.59,scattered clouds,9.1667,77.8667,Ananda Lodge
597,Embrach,CH,66.42,clear sky,47.5056,8.5941,Elwiras B&B
599,Son La,VN,69.08,overcast clouds,21.3167,103.9,Galaxy Grand Hotel
602,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
603,Hienghene,NC,72.5,scattered clouds,-20.6833,164.9333,Ka Waboana Lodge
604,Belmonte,BR,68.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
606,Conceicao Do Araguaia,BR,79.23,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
607,Vila Velha,BR,67.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
608,Marystown,CA,62.78,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
609,Pangani,TZ,72.23,few clouds,-5.4333,38.9667,Safari Mashariki Lodge
610,Paita,PE,67.46,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
616,Kenai,US,60.03,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
619,Hovd,MN,63.63,clear sky,48.0056,91.6419,Hotel Khovd
624,Inirida,CO,74.26,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
625,Ketchikan,US,61.27,light rain,55.3422,-131.6461,Snows Cove Lodge
628,Horsham,GB,72.72,clear sky,51.064,-0.3272,Springfields Hotel
632,Bratsk,RU,61.29,few clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
633,Mizan Teferi,ET,60.13,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
635,Pionerskiy,RU,60.64,clear sky,54.9508,20.2275,Baltica Pension
636,Villagarzon,CO,72.43,broken clouds,1.0375,-76.6267,Hotel Samari
639,La Asuncion,VE,79.48,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
641,San Jose De Ocoa,DO,79.36,clear sky,18.55,-70.5,Hotel El Barcon
642,Cap Malheureux,MU,71.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
645,Mizdah,LY,72.95,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
647,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
648,Rafraf,TN,73.71,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
649,Alenquer,BR,79.14,overcast clouds,-1.9417,-54.7383,Josilene Castro
652,Voi,KE,68.14,scattered clouds,-3.3945,38.563,Voi Wildlife Lodge
653,Sechura,PE,70.56,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
654,Oktyabrskiy,RU,64.6,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
656,Bonthe,SL,77.11,light rain,7.5264,-12.505,Bonthe Holiday Village
657,Sholapur,IN,74.39,overcast clouds,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
660,Mombetsu,JP,70.66,broken clouds,44.3525,143.3525,Okhotsk Palace Hotel
666,Kasese,UG,70.83,broken clouds,0.1833,30.0833,Sandton Hotel Kasese
669,Regina,CA,72.03,overcast clouds,50.4501,-104.6178,Wingate by Wyndham Regina
672,Jiexiu,CN,67.82,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
673,Anloga,GH,76.75,broken clouds,5.7947,0.8973,Pin Drop Hotel
676,Nadym,RU,63.19,broken clouds,65.5333,72.5167,Apartment on Zvereva
679,Carauari,BR,77.94,scattered clouds,-4.8828,-66.8958,Hotel Fellip
680,Shangrao,CN,78.46,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
687,Sombrerete,MX,72.28,broken clouds,23.6333,-103.65,Hotel Conde del Jaral
688,Mednogorsk,RU,69.37,scattered clouds,51.4128,57.595,"Hotel ""Central"""
689,Bonn,DE,62.74,clear sky,50.7333,7.1,ibis Bonn
693,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
697,Edremit,TR,71.35,clear sky,39.5961,27.0244,My home
698,Palamedu,IN,79.05,broken clouds,10.1167,78.1167,சல்லிக்கோடாங்கிபட்டி
699,Nemuro,JP,60.39,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
701,Asfi,MA,67.62,clear sky,32.2994,-9.2372,Hôtel Abda
706,Kinsale,IE,65.57,few clouds,51.7075,-8.5306,Actons Hotel Kinsale
709,Puerto Gaitan,CO,79.18,scattered clouds,4.3133,-72.0816,Brisas del Yucao
711,Amla,IN,71.53,overcast clouds,21.9333,78.1167,L l ganeshkar
713,Bay Roberts,CA,71.51,light rain,47.5999,-53.2648,Stonewall Inn
714,Dali,CN,62.85,few clouds,25.7,100.1833,Dali Travelling With Hostel
715,Mbanza-Ngungu,CD,68.92,clear sky,-5.25,14.8667,Hotel Full Business
716,Nabire,ID,76.89,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
720,Kasongo,CD,74.12,overcast clouds,-4.45,26.6667,Guest Hôtel
